gridSize,blue,red,flag,instructionCount,bblCount
11,9,6,A,5288836,578670
11,9,7,A,5853113,640165
11,9,8,A,6479642,708162
11,9,9,A,6997496,765101
11,9,10,A,7397418,808176
11,10,1,A,3850489,422659
11,10,2,A,4061714,445397
11,10,3,A,4212720,461161
11,10,4,A,4517126,493719
11,10,5,A,4903566,535984
11,10,6,A,5331459,582645
11,10,7,A,5821811,635817
11,10,8,A,6319657,689466
11,10,9,A,6921814,755419
11,10,10,A,7228343,788162
12,1,1,A,267163,26835
12,1,2,A,598718,62966
12,1,3,A,1401495,151206
12,1,4,A,2105652,228918
12,1,5,A,2673572,292018
12,1,6,A,3354757,367494
12,1,7,A,4560635,501601
12,1,8,A,5092429,561156
12,1,9,A,6284700,693644
12,1,10,A,7003208,772213
12,2,1,A,754684,80065
12,2,2,A,1074679,114903
12,2,3,A,1882942,203728
12,2,4,A,2561793,278644
12,2,5,A,3062635,334420
12,2,6,A,3728928,408208
12,2,7,A,4946448,543516
12,2,8,A,5449759,599822
12,2,9,A,6651787,733181
12,2,10,A,7368749,811506
12,3,1,A,1348989,145937
12,3,2,A,1694962,183480
12,3,3,A,2284574,248025
12,3,4,A,3051397,332145
12,3,5,A,3737650,408647
12,3,6,A,4370848,478654
12,3,7,A,5614237,616772
12,3,8,A,6041535,664410
12,3,9,A,7279623,801570
12,3,10,A,7994816,879602
12,4,1,A,2294883,250177
12,4,2,A,2652208,288888
12,4,3,A,3325263,362650
12,4,4,A,4146482,453272
12,4,5,A,4541586,497338
12,4,6,A,5111609,560190
12,4,7,A,6397404,703120
12,4,8,A,6700880,736529
12,4,9,A,7967382,876805
12,4,10,A,8640822,950032
12,5,1,A,3079235,337581
12,5,2,A,3419090,374340
12,5,3,A,3965888,434021
12,5,4,A,4705029,515012
12,5,5,A,5478356,600681
12,5,6,A,5910493,647944
12,5,7,A,7314200,803985
12,5,8,A,7392326,812365
12,5,9,A,8760865,963538
12,5,10,A,9370779,1029684
12,6,1,A,4355381,479289
12,6,2,A,4705625,517009
12,6,3,A,5329600,585204
12,6,4,A,6093946,669056
12,6,5,A,6405650,703310
12,6,6,A,6860721,753292
12,6,7,A,8223846,904614
12,6,8,A,8245610,906461
12,6,9,A,9592969,1054982
12,6,10,A,10220775,1122706
12,7,1,A,4748235,524606
12,7,2,A,5050691,557094
12,7,3,A,5541780,610252
12,7,4,A,6195637,681660
12,7,5,A,6779730,745579
12,7,6,A,7324544,805031
12,7,7,A,8416714,925318
12,7,8,A,8943810,984100
12,7,9,A,9860574,1083999
12,7,10,A,10822008,1188486
12,8,1,A,5362888,592707
12,8,2,A,5668273,625454
12,8,3,A,6155079,677992
12,8,4,A,6796505,747796
12,8,5,A,7411454,815221
12,8,6,A,8066978,886459
12,8,7,A,9121798,1003494
12,8,8,A,9480090,1041971
12,8,9,A,10648947,1170195
12,8,10,A,11359093,1247529
12,9,1,A,6421668,710818
12,9,2,A,6719745,742476
12,9,3,A,7202014,794353
12,9,4,A,7825275,862033
12,9,5,A,8396791,924058
12,9,6,A,8971836,985511
12,9,7,A,9977783,1097304
12,9,8,A,10365997,1139608
12,9,9,A,11446892,1258234
12,9,10,A,11815861,1296672
12,10,1,A,7599299,842598
12,10,2,A,7893469,873619
12,10,3,A,8196128,905393
12,10,4,A,8696317,959159
12,10,5,A,9299864,1024207
12,10,6,A,10097951,1111747
12,10,7,A,10899580,1198998
12,10,8,A,11742874,1292020
12,10,9,A,11692568,1285765
12,10,10,A,12581624,1381236
13,1,1,A,332339,33674
13,1,2,A,635677,66474
13,1,3,A,1487385,159968
13,1,4,A,2029500,219573
13,1,5,A,3208670,352011
13,1,6,A,4512710,496129
13,1,7,A,6108301,674758
13,1,8,A,7064433,780380
13,1,9,A,7941282,880640
13,1,10,A,8604909,951912
13,2,1,A,870164,92393
13,2,2,A,1162723,124027
13,2,3,A,2019564,218050
13,2,4,A,2480568,268911
13,2,5,A,3647445,399961
13,2,6,A,4949195,543850
13,2,7,A,6542066,722039
13,2,8,A,7496215,827343
13,2,9,A,8345683,924487
13,2,10,A,9002718,995116
13,3,1,A,1644406,178878
13,3,2,A,1961553,213027
13,3,3,A,2585976,281213
13,3,4,A,3371738,367774
13,3,5,A,4469148,490947
13,3,6,A,5756937,633196
13,3,7,A,7343786,810478
13,3,8,A,8299838,915879
13,3,9,A,9028167,999385
13,3,10,A,9686178,1070237
13,4,1,A,2401422,261934
13,4,2,A,2718291,296042
13,4,3,A,3342187,364151
13,4,4,A,4115688,449332
13,4,5,A,5280250,579785
13,4,6,A,6563081,721339
13,4,7,A,8116636,894778
13,4,8,A,9066850,999321
13,4,9,A,9753827,1078072
13,4,10,A,10426330,1150522
13,5,1,A,3394177,373259
13,5,2,A,3689970,405164
13,5,3,A,4260140,467181
13,5,4,A,5021630,551106
13,5,5,A,6078868,668732
13,5,6,A,7431065,818547
13,5,7,A,8936582,986142
13,5,8,A,9875349,1089441
13,5,9,A,10857994,1200338
13,5,10,A,11509516,1270605
13,6,1,A,5387847,594758
13,6,2,A,5709515,629214
13,6,3,A,6369283,701171
13,6,4,A,7080801,779424
13,6,5,A,7955362,877320
13,6,6,A,9204149,1014740
13,6,7,A,10699809,1181095
13,6,8,A,11626552,1282924
13,6,9,A,11914027,1316612
13,6,10,A,12564070,1386756
13,7,1,A,5548355,612446
13,7,2,A,5820496,641626
13,7,3,A,6362730,700476
13,7,4,A,7061133,777179
13,7,5,A,7990196,879817
13,7,6,A,9300219,1025049
13,7,7,A,10671503,1177030
13,7,8,A,11563302,1275184
13,7,9,A,12865371,1421101
13,7,10,A,13511221,1490664
13,8,1,A,6045919,668089
13,8,2,A,6293746,694576
13,8,3,A,6823626,752074
13,8,4,A,7448268,820529
13,8,5,A,8335439,918421
13,8,6,A,9547216,1052176
13,8,7,A,10811162,1191928
13,8,8,A,11648044,1283769
13,8,9,A,12891994,1422828
13,8,10,A,13700674,1510676
13,9,1,A,7659129,846558
13,9,2,A,7927173,875049
13,9,3,A,8463075,933069
13,9,4,A,9152834,1008433
13,9,5,A,10072052,1109662
13,9,6,A,11363656,1252090
13,9,7,A,12679938,1397306
13,9,8,A,13533697,1490915
13,9,9,A,14823810,1634959
13,9,10,A,15408444,1697444
13,10,1,A,8882005,983222
13,10,2,A,9145992,1011100
13,10,3,A,9672478,1067843
13,10,4,A,10347977,1141274
13,10,5,A,11259358,1241564
13,10,6,A,12458103,1372816
13,10,7,A,13740622,1514134
13,10,8,A,14580769,1605918
13,10,9,A,15860658,1748674
13,10,10,A,16467135,1813405
14,1,1,A,367861,37101
14,1,2,A,785215,82425
14,1,3,A,1725244,185965
14,1,4,A,2197286,238440
14,1,5,A,3991585,438647
14,1,6,A,4510062,495184
14,1,7,A,5495725,604599
14,1,8,A,6772524,746675
14,1,9,A,7824311,864471
14,1,10,A,9139127,1010819
