size,shuffles,instructionCount,bblCount
14,21,837332,34347
14,22,839250,34594
14,23,881359,36047
14,24,896724,36701
14,25,1854815,70476
15,1,126470,7197
15,2,145072,8139
15,3,163509,9051
15,4,212614,10877
15,5,230877,11760
15,6,295256,14022
15,7,344352,15832
15,8,393437,17640
15,9,396268,18053
15,10,445206,19846
15,11,594440,25635
15,12,643358,27427
15,13,661588,28304
15,14,679686,29157
15,15,697619,29980
15,16,761668,32182
15,17,779445,32974
15,18,797057,33736
15,19,860765,35876
15,20,909190,37564
15,21,957604,39250
15,22,959764,39541
15,23,1008031,41212
15,24,1025610,41968
15,25,2124078,80829
16,1,142836,8102
16,2,163876,9166
16,3,184740,10198
16,4,240488,12268
16,5,261167,13269
16,6,334286,15835
16,7,390014,17887
16,8,445731,19937
16,9,448870,20406
16,10,504440,22441
16,11,673878,29012
16,12,729428,31046
16,13,750074,32041
16,14,770577,33010
16,15,790904,33947
16,16,863671,36449
16,17,883831,37353
16,18,903815,38225
16,19,976219,40661
16,20,1031232,42583
16,21,1086234,44503
16,22,1088658,44842
16,23,1143513,46747
16,24,1163464,47613
16,25,2412129,91936
17,1,160254,9065
17,2,183890,10259
17,3,207339,11419
17,4,270160,13749
17,5,293413,14876
17,6,375838,17766
17,7,438628,20076
17,8,501407,22384
17,9,504876,22913
17,10,567508,25206
17,11,758462,32611
17,12,821074,34903
17,13,844294,36024
17,14,867360,37117
17,15,890239,38176
17,16,972290,40998
17,17,994991,42022
17,18,1017505,43012
17,19,1099171,45764
17,20,1161202,47936
17,21,1223222,50106
17,22,1225932,50497
17,23,1287805,52652
17,24,1310286,53636
17,25,2718968,103797
18,1,178724,10086
18,2,205114,11418
18,3,231306,12714
18,4,301630,15320
18,5,327615,16581
18,6,419912,19815
18,7,490194,22399
18,8,560465,24981
18,9,564286,25574
18,10,634410,28141
18,11,848192,36432
18,12,918296,38998
18,13,944248,40253
18,14,970035,41478
18,15,995624,42667
18,16,1087525,45829
18,17,1112925,46981
18,18,1138127,48097
18,19,1229621,51185
18,20,1299100,53623
18,21,1368568,56059
18,22,1371586,56506
18,23,1440907,58927
18,24,1466076,60037
18,25,3044595,116412
19,1,198246,11165
19,2,227548,12643
19,3,256641,14083
19,4,334898,16981
19,5,363773,18384
19,6,466508,21982
19,7,544712,24856
19,8,622905,27728
19,9,627100,28389
19,10,705146,31246
19,11,943068,40475
19,12,1021094,43331
19,13,1049936,44728
19,14,1078602,46093
19,15,1107059,47420
19,16,1209376,50942
19,17,1237633,52230
19,18,1265681,53480
19,19,1367569,56924
19,20,1444926,59644
19,21,1522272,62362
19,22,1525620,62869
19,23,1602819,65572
19,24,1630834,66816
19,25,3389010,129781
20,1,218820,12302
20,2,251192,13934
20,3,283344,15526
20,4,369964,18732
20,5,401887,20285
20,6,515626,24267
20,7,602182,27447
20,8,688727,30625
20,9,693318,31358
20,10,779716,34521
20,11,1043090,44740
20,12,1129468,47902
20,13,1161358,49449
20,14,1193061,50962
20,15,1224544,52435
20,16,1337843,56337
20,17,1369115,57769
20,18,1400167,59161
20,19,1513015,62981
20,20,1598680,65999
20,21,1684334,69015
20,22,1688034,69586
20,23,1773541,72587
20,24,1804560,73973
20,25,3752213,143904
21,1,240446,13497
21,2,276046,15291
21,3,311415,17043
21,4,406828,20573
21,5,441957,22284
21,6,567266,26670
21,7,662604,30172
21,8,757931,33672
21,9,762940,34481
21,10,858120,37966
21,11,1148258,49227
21,12,1243418,52711
21,13,1278514,54416
21,14,1313412,56085
21,15,1348079,57712
21,16,1472926,62014
21,17,1507371,63598
21,18,1541585,65140
21,19,1665959,69356
21,20,1760362,72688
21,21,1854754,76018
21,22,1858828,76657
21,23,1953073,79972
21,24,1987254,81508
21,25,4134204,158781
22,1,263124,14750
22,2,302110,16714
22,3,340854,18634
22,4,445490,22504
22,5,483983,24381
22,6,621428,29191
22,7,725978,33031
22,8,830517,36869
22,9,835966,37758
22,10,940358,41581
22,11,1258572,53936
22,12,1362944,57758
22,13,1401404,59629
22,14,1439655,61462
22,15,1477664,63251
22,16,1614625,67973
22,17,1652401,69717
22,18,1689935,71417
22,19,1826401,76049
22,20,1929972,79711
22,21,2033532,83371
22,22,2038002,84082
22,23,2141415,87727
22,24,2178916,89421
22,25,4534983,174412
23,1,286854,16061
23,2,329384,18203
23,3,371661,20299
23,4,485950,24525
23,5,527965,26576
23,6,678112,31830
23,7,792304,36024
23,8,906485,40216
23,9,912396,41189
23,10,1026430,45366
23,11,1374032,58867
23,12,1488046,63043
23,13,1530028,65088
23,14,1571790,67093
23,15,1613299,69052
23,16,1762940,74214
23,17,1804205,76126
23,18,1845217,77992
23,19,1994341,83060
23,20,2107510,87068
23,21,2220668,91074
23,22,2225556,91861
23,23,2338567,95852
23,24,2379546,97712
23,25,4954550,190797
24,1,311636,17430
24,2,357868,19758
24,3,403836,22038
24,4,528208,26636
24,5,573903,28869
24,6,737318,34587
24,7,861582,39151
24,8,985835,43713
24,9,992230,44774
24,10,1116336,49321
24,11,1494638,64020
24,12,1618724,68566
24,13,1664386,70793
24,14,1709817,72978
24,15,1754984,75115
24,16,1917871,80737
24,17,1962783,82825
24,18,2007431,84865
24,19,2169779,90389
24,20,2292976,94759
24,21,2416162,99127
24,22,2421490,99994
24,23,2544529,104347
24,24,2589144,106381
24,25,5392905,207936
25,1,337470,18857
25,2,387562,21379
25,3,437379,23851
25,4,572264,28837
25,5,621797,31260
25,6,799046,37462
25,7,933812,42412
25,8,1068567,47360
25,9,1075468,48513
25,10,1210076,53446
25,11,1620390,69395
25,12,1754978,74327
25,13,1804478,76744
25,14,1853736,79117
25,15,1902719,81440
25,16,2079418,87542
25,17,2128135,89814
25,18,2176577,92036
25,19,2352715,98036
25,20,2486370,102784
25,21,2620014,107530
25,22,2625804,108481
25,23,2759301,113212
25,24,2807710,115428
25,25,5850048,225829
