mapFile,iterations,instructionCount
glider-10-10.json,1,58487
glider-10-10.json,2,113185
glider-10-10.json,3,167883
glider-10-10.json,4,222581
glider-10-10.json,5,277279
glider-10-10.json,6,331977
glider-10-10.json,7,386675
glider-10-10.json,8,441373
glider-10-10.json,9,496071
glider-10-10.json,10,550769
glider-10-10.json,11,605467
glider-10-10.json,12,660165
glider-10-10.json,13,714863
glider-10-10.json,14,769561
glider-10-10.json,15,824259
glider-10-10.json,16,878957
glider-10-10.json,17,933655
glider-10-10.json,18,988353
glider-10-10.json,19,1043051
glider-10-10.json,20,1097749
glider-10-10.json,21,1152447
glider-10-10.json,22,1207145
glider-10-10.json,23,1261843
glider-10-10.json,24,1316541
glider-10-10.json,25,1371239
glider-10-10.json,26,1425937
glider-10-10.json,27,1480635
glider-10-10.json,28,1535333
glider-10-10.json,29,1590031
glider-10-10.json,30,1644729
glider-10-10.json,31,1699427
glider-10-10.json,32,1754125
glider-10-10.json,33,1808823
glider-10-10.json,34,1863521
glider-10-10.json,35,1918219
glider-10-10.json,36,1972917
glider-10-10.json,37,2027615
glider-10-10.json,38,2082313
glider-10-10.json,39,2137011
glider-10-10.json,40,2191709
glider-10-10.json,41,2246407
glider-10-10.json,42,2301105
glider-10-10.json,43,2355803
glider-10-10.json,44,2410501
glider-10-10.json,45,2465199
glider-10-10.json,46,2519897
glider-10-10.json,47,2574595
glider-10-10.json,48,2629293
glider-10-10.json,49,2683991
glider-10-10.json,50,2738689
glider-10-10.json,51,2793387
glider-10-10.json,52,2848085
glider-10-10.json,53,2902783
glider-10-10.json,54,2957481
glider-10-10.json,55,3012179
glider-10-10.json,56,3066877
glider-10-10.json,57,3121575
glider-10-10.json,58,3176273
glider-10-10.json,59,3230971
glider-10-10.json,60,3285669
glider-10-10.json,61,3340367
glider-10-10.json,62,3395065
glider-10-10.json,63,3449763
glider-10-10.json,64,3504461
glider-10-10.json,65,3559159
glider-10-10.json,66,3613857
glider-10-10.json,67,3668555
glider-10-10.json,68,3723253
glider-10-10.json,69,3777951
glider-10-10.json,70,3832649
glider-10-10.json,71,3887347
glider-10-10.json,72,3942045
glider-10-10.json,73,3996743
glider-10-10.json,74,4051441
glider-10-10.json,75,4106139
glider-10-10.json,76,4160837
glider-10-10.json,77,4215535
glider-10-10.json,78,4270233
glider-10-10.json,79,4324931
glider-10-10.json,80,4379629
glider-10-10.json,81,4434327
glider-10-10.json,82,4489025
glider-10-10.json,83,4543723
glider-10-10.json,84,4598421
glider-10-10.json,85,4653119
glider-10-10.json,86,4707817
glider-10-10.json,87,4762515
glider-10-10.json,88,4817213
glider-10-10.json,89,4871911
glider-10-10.json,90,4926609
glider-10-10.json,91,4981307
glider-10-10.json,92,5036005
glider-10-10.json,93,5090703
glider-10-10.json,94,5145401
glider-10-10.json,95,5200099
glider-10-10.json,96,5254797
glider-10-10.json,97,5309495
glider-10-10.json,98,5364193
glider-10-10.json,99,5418891
glider-10-10.json,100,5473589
glider-10-10.json,101,5528287
glider-10-10.json,102,5582985
glider-10-10.json,103,5637683
glider-10-10.json,104,5692381
glider-10-10.json,105,5747079
glider-10-10.json,106,5801777
glider-10-10.json,107,5856475
glider-10-10.json,108,5911173
